Passenger_ID,Arrival_Time,Ticket_Type,Counter_Wait_Min,Counter_Service_Min,Gate_Wait_Min,Gate_Service_Min,Boarding_Wait_Min,Total_Time_Min
P001,07:00:02,Online,0.0,0.0,0.65,1.47,8.53,10.65
P002,07:00:04,Normal,0.0,0.88,0.19,0.76,8.88,10.71
P003,07:00:12,Online,0.0,0.0,0.33,0.41,1.0,1.74
P004,07:00:25,Online,0.0,0.0,0.93,0.71,1.56,3.19
P005,07:00:46,Normal,0.0,0.36,0.05,0.85,1.4,2.67
P006,07:00:56,Online,0.0,0.0,0.07,0.49,1.85,2.4
P007,07:01:09,Online,0.0,0.0,0.15,0.05,10.2,10.39
P008,07:01:22,Normal,0.0,0.96,0.37,0.38,2.38,4.1
P009,07:02:20,Normal,0.0,3.47,0.05,0.76,1.0,5.29
P010,07:02:50,Online,0.0,0.0,0.29,0.2,1.0,1.5
P011,07:02:58,Online,0.0,0.0,0.35,0.05,6.85,7.26
P012,07:03:00,Normal,0.0,2.38,0.14,0.64,2.08,5.25
P013,07:03:11,Normal,0.0,0.28,1.27,0.48,1.62,3.65
P014,07:03:34,Normal,0.0,0.13,0.05,1.18,1.0,2.37
P015,07:03:51,Normal,0.0,1.09,0.76,0.27,7.1,9.22
P016,07:05:29,Normal,0.0,1.5,0.7,0.42,3.37,6.0
P017,07:05:39,Normal,0.0,0.61,0.94,0.05,1.25,2.86
P018,07:06:04,Online,0.0,0.0,0.08,0.22,2.08,2.39
P019,07:06:51,Online,0.0,0.0,0.16,0.51,7.5,8.17
P020,07:06:57,Normal,0.0,2.56,0.71,0.15,4.36,7.77
P021,07:07:02,Online,0.0,0.0,0.29,0.05,1.0,1.34
P022,07:07:37,Normal,0.0,2.09,0.38,0.3,2.77,5.55
P023,07:08:18,Normal,0.0,1.68,0.82,0.16,6.07,8.73
P024,07:08:23,Online,0.0,0.0,0.06,0.38,5.6,6.05
P025,07:08:30,Normal,1.01,0.38,0.19,0.12,1.0,2.69
P026,07:08:31,Normal,1.19,0.33,0.13,0.05,3.84,5.54
P027,07:08:42,Online,0.0,0.0,0.11,0.43,3.32,3.87
P028,07:08:47,Online,0.0,0.0,0.2,0.13,7.03,7.36
P029,07:09:01,Online,0.0,0.0,0.05,0.22,1.67,1.94
P030,07:09:34,Normal,0.32,0.04,0.86,0.08,1.22,2.52
P031,07:09:36,Online,0.0,0.0,0.4,0.27,5.5,6.16
P032,07:10:16,Normal,0.0,0.42,0.4,0.52,18.78,20.11
P033,07:10:25,Normal,0.0,0.97,0.45,0.13,1.0,2.55
P034,07:10:54,Normal,0.0,2.84,0.13,0.1,1.0,4.08
P035,07:11:04,Online,0.0,0.0,0.05,0.2,4.57,4.82
P036,07:11:07,Normal,0.0,0.11,0.05,0.31,1.6,2.07
P037,07:11:36,Normal,0.0,0.8,2.2,0.32,5.98,9.3
P038,07:11:37,Normal,0.0,1.49,0.08,0.81,3.38,5.76
P039,07:11:48,Online,0.0,0.0,0.05,0.14,1.19,1.38
